NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
42.5,177515,383079,310363,337722,4802,242696,68614,
43.5,235178,439828,344343,481955,5634,301388,85285,
44.5,310086,514240,388704,647467,8201,373740,107833,
45.5,404131,610161,445868,823393,13586,459428,133643,
46.5,517588,732050,518799,997880,23952,558054,160026,
47.5,648388,884766,611020,1160640,42935,669550,184933,
48.5,791759,1073079,726571,1304495,76049,794390,207183,
49.5,940528,1300821,869856,1425689,130908,933560,226432,
50.5,1086166,1569695,1045358,1523350,217034,1088320,243101,
51.5,1220388,1877886,1257192,1598608,345037,1259822,258377,
52.5,1336808,2218875,1508480,1653780,525143,1448617,274251,
53.5,1432136,2580964,1800610,1691776,765258,1654149,293366,
54.5,1506573,2948007,2132446,1715752,1069033,1874362,318457,
55.5,1563387,3301478,2499655,1728910,1434476,2105581,351547,
56.5,1607970,3623474,2894295,1734393,1853519,2342730,393307,
57.5,1646717,3899785,3304850,1735192,2312689,2579847,442912,
58.5,1686072,4122063,3716795,1734067,2794644,2810728,498240,
59.5,1731859,4288480,4113682,1733458,3280166,3029529,556188,
60.5,1788907,4402882,4478636,1735424,3750133,3231196,613016,
61.5,1860878,4472932,4796017,1741586,4187145,3411712,664763,
62.5,1950191,4507962,5052972,1753109,4576640,3568175,707713,
63.5,2057954,4517114,5240624,1770695,4907495,3698776,738843,
64.5,2183876,4508093,5354721,1794606,5172222,3802704,756141,
65.5,2326171,4486572,5395679,1824687,5366879,3879998,758773,
66.5,2481503,4456133,5368087,1860417,5490792,3931386,747070,
67.5,2645041,4418563,5279812,1900957,5546166,3958108,722387,
68.5,2810692,4374329,5140904,1945215,5537619,3961752,686853,
69.5,2971535,4323099,4962468,1991917,5471661,3944136,643081,
70.5,3120430,4264225,4755663,2039694,5356140,3907231,593859,
71.5,3250712,4197115,4530924,2087161,5199682,3853119,541871,
72.5,3356857,4121489,4297420,2133002,5011158,3783985,489472,
73.5,3434984,4037513,4062763,2176047,4799215,3702104,438545,
74.5,3483111,3945817,3832920,2215323,4571884,3609811,390443,
75.5,3501140,3847435,3612277,2250094,4336310,3509451,346017,
76.5,3490596,3743696,3403794,2279872,4098580,3403308,305696,
77.5,3454214,3636090,3209230,2304400,3863660,3293519,269602,
78.5,3395466,3526138,3029363,2323623,3635412,3182000,237665,
79.5,3318114,3415286,2864220,2337640,3416678,3070388,209722,
80.5,3225859,3304821,2713276,2346645,3209402,2960001,185588,
81.5,3122097,3195824,2575623,2350875,3014772,2851838,165102,
82.5,3009798,3089145,2450117,2350555,2833364,2746596,148137,
83.5,2891477,2985403,2335486,2345859,2665280,2644701,134596,
84.5,2769236,2885008,2230418,2336877,2510272,2546362,124371,
85.5,2644839,2788181,2133634,2323603,2367841,2451620,117288,
86.5,2519798,2694992,2043933,2305932,2237326,2360396,113054,
87.5,2395455,2605394,1960229,2283672,2117964,2272543,111233,
88.5,2273037,2519250,1881580,2256568,2008943,2187876,111268,
89.5,2153693,2436366,1807200,2224336,1909441,2106207,112547,
90.5,2038498,2356513,1736462,2186697,1818645,2027363,114464,
91.5,1928451,2279449,1668900,2143426,1735774,1951200,116473,
92.5,1824448,2204928,1604201,2094382,1660087,1877609,118115,
93.5,1727262,2132715,1542183,2039550,1590891,1806520,119029,
94.5,1637519,2062595,1482782,1979068,1527543,1737901,118954,
95.5,1555689,1994369,1426026,1913236,1469455,1671755,117723,
96.5,1482075,1927864,1372012,1842530,1416091,1608115,115259,
97.5,1416826,1862931,1320883,1767584,1366966,1547038,111570,
98.5,1359944,1799441,1272804,1689173,1321647,1488602,106735,
99.5,1311301,1737288,1227947,1608182,1279750,1432893,100902,
100.5,1270661,1676385,1186468,1525567,1240941,1380004,94282,
101.5,1237693,1616664,1148504,1442313,1204926,1330020,87148,
102.5,1211989,1558076,1114159,1359395,1171460,1283016,79842,
103.5,1193068,1500584,1083499,1277738,1140335,1239045,72785,
104.5,1180384,1444170,1056552,1198182,1111380,1198134,66491,
105.5,1173327,1388827,1033309,1121465,1084460,1160278,61555,
106.5,1171215,1334563,1013719,1048201,1059467,1125433,58578,
107.5,1173292,1281397,997696,978872,1036323,1093516,57991,
108.5,1178725,1229358,985116,913835,1014969,1064401,59867,
109.5,1186597,1178484,975822,853322,995368,1037919,63877,
110.5,1195915,1128823,969621,797453,977495,1013861,69452,
111.5,1205619,1080426,966288,746254,961336,991985,75975,
112.5,1214603,1033347,965560,699670,946884,972013,82902,
113.5,1221743,987645,967140,657580,934139,953649,89791,
114.5,1225939,943373,970696,619818,923097,936584,96296,
115.5,1226158,900586,975856,586184,913755,920508,102152,
116.5,1221488,859330,982217,556456,906105,905120,107167,
117.5,1211189,819649,989342,530404,900133,890143,111219,
118.5,1194735,781575,996765,507793,895816,875337,114250,
119.5,1171851,745133,1004000,488393,893119,860499,116269,
120.5,1142529,710338,1010550,471986,891997,845480,117348,
121.5,1107035,677195,1015917,458360,892389,830179,117616,
122.5,1065886,645699,1019615,447320,894222,814548,117247,
123.5,1019818,615834,1021188,438683,897401,798585,116445,
124.5,969739,587577,1020223,432278,901815,782326,115425,
125.5,916667,560894,1016364,427946,907334,765841,114391,
126.5,861672,535746,1009332,425535,913806,749218,113520,
127.5,805817,512086,998929,424902,921056,732558,112941,
128.5,750106,489861,985050,425907,928890,715963,112731,
129.5,695440,469016,967691,428411,937088,699529,112917,
130.5,642591,449489,946939,432273,945412,683341,113479,
131.5,592186,431219,922978,437347,953604,667467,114367,
132.5,544698,414142,896074,443481,961388,651957,115513,
133.5,500458,398194,866563,450514,968478,636841,116839,
134.5,459662,383311,834838,458273,974576,622132,118267,
135.5,422390,369430,801330,466575,979385,607822,119723,
136.5,388630,356489,766492,475223,982609,593889,121134,
137.5,358294,344429,730782,484011,983967,580296,122431,
138.5,331238,333190,694646,492722,983196,566998,123548,
139.5,307284,322717,658506,501135,980061,553940,124420,
140.5,286230,312957,622749,509023,974362,541064,124984,
141.5,267866,303859,587718,516163,965947,528310,125182,
142.5,251981,295376,553708,522336,954708,515622,124961,
143.5,238373,287461,520963,527338,940597,502946,124276,
144.5,226850,280072,489677,530981,923623,490241,123091,
145.5,217236,273169,459994,533100,903855,477471,121381,
146.5,209372,266714,432014,533561,881420,464616,119134,
147.5,203116,260672,405797,532260,856503,451669,116350,
148.5,198342,255008,381366,529130,829337,438637,113044,
149.5,194941,249691,358715,524143,800200,425538,109238,
150.5,192817,244693,337814,517311,769405,412408,104968,
151.5,191886,239985,318612,508681,737289,399291,100278,
152.5,192075,235542,301045,498338,704203,386240,95219,
153.5,193316,231338,285038,486401,670503,373319,89849,
154.5,195550,227350,270510,473015,636538,360593,84229,
155.5,198717,223557,257375,458349,602643,348128,78423,
156.5,202757,219938,245545,442589,569131,335992,72497,
157.5,207610,216472,234936,425934,536282,324247,66519,
158.5,213206,213140,225463,408586,504347,312948,60557,
159.5,219472,209925,217044,390746,473537,302145,54684,
160.5,226321,206809,209602,372613,444026,291874,48975,
161.5,233659,203774,203063,354372,415950,282164,43513,
162.5,241377,200807,197360,336196,389409,273030,38392,
163.5,249355,197890,192426,318243,364469,264477,33722,
164.5,257461,195009,188201,300651,341164,256497,29635,
165.5,265553,192151,184629,283538,319503,249075,26280,
166.5,273484,189303,181653,267005,299470,242183,23809,
167.5,281098,186452,179225,251130,281032,235787,22326,
168.5,288243,183587,177295,235976,264138,229848,21823,
169.5,294771,180698,175815,221586,248728,224320,22161,
170.5,300542,177774,174741,207989,234733,219156,23104,
171.5,305433,174808,174028,195200,222078,214309,24405,
172.5,309337,171792,173630,183220,210685,209733,25853,
173.5,312173,168720,173504,172042,200478,205383,27295,
174.5,313885,165588,173604,161649,191376,201220,28626,
175.5,314443,162392,173883,152018,183305,197208,29779,
176.5,313849,159129,174295,143121,176192,193317,30718,
177.5,312129,155799,174790,134925,169966,189522,31425,
178.5,309337,152404,175321,127395,164561,185804,31897,
