,Milieu diff MPC28 S+E (D6) d200,MPC28 No Stretch d200,EMT5 d200 pre5,EMT3 d200,MPC 28 No stretch d200,EMT1 d200 pre1,Milieu diff MPC28 NS 3 (D6) d200,EMT4 d200 pre4,EMT2 d200 pre2,Milieu diff MPC28 S+E 2 (D6) d200,Milieu diff MPC28 S 2 (D6),Milieu diff MPC28 S+E 3 (D6),MPC28 Stretch d200,MPC28 Stretch + exercice d200,Milieu diff MPC28 S (D6) d200,Milieu diff MPC28 NS d200,Milieu diff MPC28 NS 2 (D6) d200,MPC 28 Stretch d200,Milieu diff MPC28 S 3 (D6) d200,Milieu diff 0302 NS d200,Milieu diff MPC28 NS (D6) d200,Milieu diff d200,Milieu diff MPC28 S+E d200,20210401 EMT1 d20,Milieu diff 0302 S+E d200,EMT3 d200 pre3,MPC 28 Stretch + exercice d200
MPC28 Stretch + exercice d200,7040000000.0,9520000000.0,11960000000.0,10680000000.0,11280000000.0,14480000000.0,13440000000.0,19040000000.0,17520000000.0,17520000000.0,28486200000.0,28413200000.0,640000000.0,0.0,624000000.0,5876000000.0,4600000000.0,4280000000.0,4080000000.0,3640000000.0,2880000000.0,16656000000.0,11420000000.0,10364000000.0,9912000000.0,8860000000.0,9368000000.0
Milieu diff MPC28 S (D6) d200,7664000000.0,10144000000.0,12584000000.0,11304000000.0,11904000000.0,15104000000.0,14064000000.0,19664000000.0,18144000000.0,18144000000.0,27862200000.0,27789200000.0,1264000000.0,624000000.0,0.0,5252000000.0,3976000000.0,3656000000.0,3456000000.0,3016000000.0,2256000000.0,16032000000.0,10796000000.0,9740000000.0,9288000000.0,8236000000.0,8744000000.0
Milieu diff MPC28 NS d200,12916000000.0,15396000000.0,17836000000.0,16556000000.0,17156000000.0,20356000000.0,19316000000.0,24916000000.0,23396000000.0,23396000000.0,22610200000.0,22537200000.0,6516000000.0,5876000000.0,5252000000.0,0.0,1276000000.0,1596000000.0,1796000000.0,2236000000.0,2996000000.0,10780000000.0,5544000000.0,4488000000.0,4036000000.0,2984000000.0,3492000000.0
Milieu diff MPC28 NS 2 (D6) d200,11640000000.0,14120000000.0,16560000000.0,15280000000.0,15880000000.0,19080000000.0,18040000000.0,23640000000.0,22120000000.0,22120000000.0,23886200000.0,23813200000.0,5240000000.0,4600000000.0,3976000000.0,1276000000.0,0.0,320000000.0,520000000.0,960000000.0,1720000000.0,12056000000.0,6820000000.0,5764000000.0,5312000000.0,4260000000.0,4768000000.0
MPC 28 Stretch d200,11320000000.0,13800000000.0,16240000000.0,14960000000.0,15560000000.0,18760000000.0,17720000000.0,23320000000.0,21800000000.0,21800000000.0,24206200000.0,24133200000.0,4920000000.0,4280000000.0,3656000000.0,1596000000.0,320000000.0,0.0,200000000.0,640000000.0,1400000000.0,12376000000.0,7140000000.0,6084000000.0,5632000000.0,4580000000.0,5088000000.0
Milieu diff MPC28 S 3 (D6) d200,11120000000.0,13600000000.0,16040000000.0,14760000000.0,15360000000.0,18560000000.0,17520000000.0,23120000000.0,21600000000.0,21600000000.0,24406200000.0,24333200000.0,4720000000.0,4080000000.0,3456000000.0,1796000000.0,520000000.0,200000000.0,0.0,440000000.0,1200000000.0,12576000000.0,7340000000.0,6284000000.0,5832000000.0,4780000000.0,5288000000.0
Milieu diff 0302 NS d200,10680000000.0,13160000000.0,15600000000.0,14320000000.0,14920000000.0,18120000000.0,17080000000.0,22680000000.0,21160000000.0,21160000000.0,24846200000.0,24773200000.0,4280000000.0,3640000000.0,3016000000.0,2236000000.0,960000000.0,640000000.0,440000000.0,0.0,760000000.0,13016000000.0,7780000000.0,6724000000.0,6272000000.0,5220000000.0,5728000000.0
Milieu diff MPC28 NS (D6) d200,9920000000.0,12400000000.0,14840000000.0,13560000000.0,14160000000.0,17360000000.0,16320000000.0,21920000000.0,20400000000.0,20400000000.0,25606200000.0,25533200000.0,3520000000.0,2880000000.0,2256000000.0,2996000000.0,1720000000.0,1400000000.0,1200000000.0,760000000.0,0.0,13776000000.0,8540000000.0,7484000000.0,7032000000.0,5980000000.0,6488000000.0
Milieu diff d200,23696000000.0,26176000000.0,28616000000.0,27336000000.0,27936000000.0,31136000000.0,30096000000.0,35696000000.0,34176000000.0,34176000000.0,11830200000.0,11757200000.0,17296000000.0,16656000000.0,16032000000.0,10780000000.0,12056000000.0,12376000000.0,12576000000.0,13016000000.0,13776000000.0,0.0,5236000000.0,6292000000.0,6744000000.0,7796000000.0,7288000000.0
Milieu diff MPC28 S+E d200,18460000000.0,20940000000.0,23380000000.0,22100000000.0,22700000000.0,25900000000.0,24860000000.0,30460000000.0,28940000000.0,28940000000.0,17066200000.0,16993200000.0,12060000000.0,11420000000.0,10796000000.0,5544000000.0,6820000000.0,7140000000.0,7340000000.0,7780000000.0,8540000000.0,5236000000.0,0.0,1056000000.0,1508000000.0,2560000000.0,2052000000.0
20210401 EMT1 d20,17404000000.0,19884000000.0,22324000000.0,21044000000.0,21644000000.0,24844000000.0,23804000000.0,29404000000.0,27884000000.0,27884000000.0,18122200000.0,18049200000.0,11004000000.0,10364000000.0,9740000000.0,4488000000.0,5764000000.0,6084000000.0,6284000000.0,6724000000.0,7484000000.0,6292000000.0,1056000000.0,0.0,452000000.0,1504000000.0,996000000.0
Milieu diff 0302 S+E d200,16952000000.0,19432000000.0,21872000000.0,20592000000.0,21192000000.0,24392000000.0,23352000000.0,28952000000.0,27432000000.0,27432000000.0,18574200000.0,18501200000.0,10552000000.0,9912000000.0,9288000000.0,4036000000.0,5312000000.0,5632000000.0,5832000000.0,6272000000.0,7032000000.0,6744000000.0,1508000000.0,452000000.0,0.0,1052000000.0,544000000.0
EMT3 d200 pre3,15900000000.0,18380000000.0,20820000000.0,19540000000.0,20140000000.0,23340000000.0,22300000000.0,27900000000.0,26380000000.0,26380000000.0,19626200000.0,19553200000.0,9500000000.0,8860000000.0,8236000000.0,2984000000.0,4260000000.0,4580000000.0,4780000000.0,5220000000.0,5980000000.0,7796000000.0,2560000000.0,1504000000.0,1052000000.0,0.0,508000000.0
MPC 28 Stretch + exercice d200,16408000000.0,18888000000.0,21328000000.0,20048000000.0,20648000000.0,23848000000.0,22808000000.0,28408000000.0,26888000000.0,26888000000.0,19118200000.0,19045200000.0,10008000000.0,9368000000.0,8744000000.0,3492000000.0,4768000000.0,5088000000.0,5288000000.0,5728000000.0,6488000000.0,7288000000.0,2052000000.0,996000000.0,544000000.0,508000000.0,0.0
