NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 NS 2 (D6) d200 2021-05-07 11-07-28.nano,
Operator Name,MG,
Time Captured,11:07:28  07/05/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 NS 2 (D6) d200 2021-05-07 11-07-57,Milieu diff MPC28 NS 2 (D6) d200 2021-05-07 11-09-13,Milieu diff MPC28 NS 2 (D6) d200 2021-05-07 11-10-35,Milieu diff MPC28 NS 2 (D6) d200 2021-05-07 11-18-19,Milieu diff MPC28 NS 2 (D6) d200 2021-05-07 11-20-54,
,,,,,,
[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,17.4211,18.8897,16.3149,21.1750,15.0451,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
99.5,1645286,2429255,1541950,174583,1389524,1436119,362968,
100.5,1631371,2682183,1517344,167523,1425224,1484729,399690,
101.5,1614688,2904606,1492714,164415,1457478,1526780,434058,
102.5,1595511,3075741,1468071,164910,1485876,1558022,461461,
103.5,1574179,3176651,1443420,168852,1510086,1574638,477706,
104.5,1551065,3193506,1418756,176247,1529856,1573886,479744,
105.5,1526560,3120357,1394078,187239,1545014,1554650,466257,
106.5,1501053,2960634,1369382,202099,1555464,1517727,437982,
107.5,1474912,2726855,1344668,221212,1561182,1465766,397688,
108.5,1448468,2438567,1319940,245060,1562210,1402849,349824,
109.5,1422005,2119049,1295202,274208,1558645,1333822,299931,
110.5,1395753,1791632,1270465,309279,1550637,1263553,253914,
111.5,1369884,1476527,1245738,350917,1538375,1196288,217116,
112.5,1344511,1188776,1221033,399744,1522089,1135231,192954,
113.5,1319691,937524,1196363,456297,1502034,1082382,181436,
114.5,1295429,726442,1171739,520958,1478495,1038613,179247,
115.5,1271685,554875,1147173,593872,1451773,1003875,182013,
116.5,1248382,419278,1122675,674859,1422188,977477,186468,
117.5,1225412,314581,1098257,763341,1390071,958333,191016,
118.5,1202648,235254,1073929,858274,1355762,945173,195319,
119.5,1179949,176025,1049700,958120,1319606,936680,199705,
120.5,1157171,132278,1025582,1060855,1281948,931567,204705,
121.5,1134175,100203,1001586,1164030,1243133,928625,210735,
122.5,1110832,76784,977727,1264879,1203496,926744,217927,
123.5,1087028,59717,954020,1360469,1163364,924920,226082,
124.5,1062676,47280,930484,1447891,1123048,922276,234732,
125.5,1037710,38210,907139,1524449,1082843,918070,243252,
126.5,1012095,31597,884008,1587854,1043020,911715,250984,
127.5,985824,26789,861118,1636366,1003827,902785,257328,
128.5,958921,23323,838495,1668907,965488,891027,261813,
129.5,931435,20879,816170,1685095,928197,876355,264125,
130.5,903443,19234,794173,1685229,892122,858840,264115,
131.5,875042,18241,772535,1670220,857400,838687,261785,
132.5,846347,17810,751287,1641472,824141,816211,257263,
133.5,817487,17898,730458,1600746,792431,791804,250773,
134.5,788601,18500,710077,1550018,762328,765905,242600,
135.5,759830,19648,690170,1491343,733867,738971,233059,
136.5,731315,21416,670760,1426730,707063,711457,222468,
137.5,703194,23918,651867,1358060,681912,683790,211124,
138.5,675598,27323,633507,1287011,658393,656367,199287,
139.5,648647,31864,615693,1215027,636473,629541,187165,
140.5,622447,37852,598433,1143301,616104,603627,174912,
141.5,597093,45702,581732,1072779,597231,578907,162618,
142.5,572663,55949,565590,1004176,579791,555634,150308,
143.5,549221,69278,550003,938006,563714,534044,137942,
144.5,526817,86548,534963,874606,548926,514372,125414,
145.5,505485,108810,520460,814173,535351,496856,112557,
146.5,485248,137320,506481,756792,522910,481750,99146,
147.5,466114,173519,493007,702464,511524,469326,84914,
148.5,448083,218992,480021,651131,501111,459867,69588,
149.5,431144,275371,467500,602693,491594,453660,52979,
150.5,415279,344177,455423,557032,482893,450961,35332,
151.5,400464,426602,443764,514017,474933,451956,19673,
152.5,386666,523216,432499,473516,467638,456707,22713,
153.5,373853,633638,421602,435406,460937,465087,44454,
154.5,361986,756199,411048,399573,454759,476713,71421,
155.5,351026,887663,400809,365914,449039,490890,100617,
156.5,340931,1023092,390861,334340,443713,506587,130620,
157.5,331661,1155922,381179,304773,438721,522451,160006,
158.5,323173,1278328,371737,277144,434007,536878,187181,
159.5,315427,1381874,362514,251390,429518,548145,210459,
160.5,308381,1458420,353488,227456,425206,554590,228224,
161.5,301996,1501148,344636,205285,421026,554819,239135,
162.5,296235,1505554,335941,184822,416940,547898,242316,
163.5,291059,1470183,327384,166006,412910,533508,237511,
164.5,286434,1396970,318950,148776,408906,512007,225153,
165.5,282324,1291073,310625,133063,404902,484397,206338,
166.5,278698,1160212,302395,118796,400873,452195,182704,
167.5,275524,1013660,294251,105896,396802,417227,156250,
168.5,272771,861053,286184,94283,392674,381393,129131,
169.5,270409,711272,278187,83870,388479,346443,103502,
170.5,268410,571562,270254,74572,384209,313802,81420,
171.5,266747,447031,262383,66302,379860,284465,64778,
172.5,265392,340528,254572,58972,375431,258979,54898,
173.5,264318,252854,246821,52498,370924,237483,51512,
174.5,263499,183197,239131,46799,366343,219794,52453,
175.5,262908,129657,231506,41797,361693,205512,55190,
176.5,262520,89755,223949,37420,356982,194125,58112,
177.5,262306,60861,216467,33600,352218,185090,60523,
178.5,262241,40487,209066,30275,347411,177896,62247,
179.5,262297,26468,201753,27388,342570,172095,63334,
180.5,262445,17036,194536,24889,337706,167323,63911,
181.5,262657,10817,187424,22732,332829,163292,64111,
182.5,262904,6789,180427,20877,327950,159789,64048,
183.5,263155,4222,173552,19289,323077,156659,63808,
184.5,263380,2606,166810,17936,318220,153791,63455,
185.5,263548,1601,160210,16793,313387,151108,63029,
186.5,263625,981,153761,15836,308586,148558,62558,
187.5,263581,602,147470,15047,303824,146105,62059,
188.5,263382,370,141346,14410,299106,143723,61539,
189.5,262995,228,135397,13912,294437,141394,61002,
190.5,262389,142,129628,13543,289821,139105,60449,
191.5,261531,89,124046,13296,285261,136845,59877,
192.5,260392,57,118655,13165,280759,134605,59283,
193.5,258940,37,113459,13148,276316,132380,58662,
194.5,257150,24,108461,13244,271933,130162,58009,
195.5,254994,16,103664,13454,267608,127947,57320,
196.5,252452,11,99068,13784,263342,125731,56588,
197.5,249502,8,94672,14238,259133,123511,55809,
198.5,246130,6,90478,14824,254978,121283,54978,
199.5,242324,4,86482,15555,250876,119048,54092,
200.5,238077,3,82683,16442,246823,116805,53147,
201.5,233385,2,79077,17501,242817,114557,52140,
202.5,228254,2,75661,18751,238854,112304,51071,
203.5,222689,2,72430,20213,234931,110053,49940,
204.5,216706,1,69379,21910,231045,107809,48746,
205.5,210324,1,66504,23869,227194,105578,47493,
206.5,203566,1,63799,26116,223373,103371,46184,
207.5,196463,1,61257,28683,219580,101197,44824,
208.5,189049,1,58873,31599,215813,99067,43421,
209.5,181364,1,56641,34895,212069,96994,41984,
210.5,173449,1,54555,38599,208345,94990,40523,
211.5,165350,1,52607,42737,204641,93067,39054,
212.5,157116,1,50792,47329,200955,91239,37594,
213.5,148796,2,49104,52385,197286,89515,36162,
214.5,140441,2,47536,57905,193633,87903,34781,
215.5,132101,2,46083,63872,189995,86411,33480,
216.5,123826,3,44739,70255,186372,85039,32285,
217.5,115663,4,43498,76997,182766,83786,31226,
218.5,107657,5,42354,84020,179176,82642,30330,
219.5,99850,6,41303,91218,175602,81596,29617,
220.5,92281,9,40339,98460,172047,80627,29098,
221.5,84983,12,39458,105588,168511,79710,28771,
222.5,77986,17,38654,112424,164995,78815,28617,
223.5,71312,24,37924,118770,161501,77906,28606,
224.5,64983,35,37263,124423,158030,76947,28690,
225.5,59011,50,36667,129177,154585,75898,28816,
226.5,53407,73,36132,132840,151166,74724,28929,
227.5,48173,106,35655,135244,147776,73391,28974,
228.5,43312,156,35231,136254,144415,71874,28904,
229.5,38817,229,34858,135785,141085,70155,28685,
230.5,34682,335,34531,133804,137787,68228,28292,
231.5,30896,489,34249,130335,134524,66098,27719,
232.5,27445,712,34007,125463,131294,63784,26970,
233.5,24314,1030,33804,119330,128100,61315,26064,
234.5,21486,1479,33635,112122,124942,58733,25029,
235.5,18941,2108,33499,104065,121820,56086,23902,
236.5,16661,2974,33392,95405,118735,53433,22722,
237.5,14626,4151,33311,86398,115686,50834,21527,
238.5,12816,5725,33255,77292,112674,48352,20350,
239.5,11213,7796,33220,68316,109697,46048,19220,
240.5,9797,10472,33205,59671,106757,43980,18158,
241.5,8550,13864,33205,51518,103851,42198,17181,
242.5,7456,18078,33220,43981,100979,40743,16305,
243.5,6498,23204,33246,37138,98140,39645,15553,
244.5,5662,29301,33281,31034,95333,38922,14958,
245.5,4933,36387,33322,25676,92557,38575,14568,
246.5,4300,44417,33367,21043,89811,38588,14437,
247.5,3751,53283,33414,17095,87094,38927,14613,
248.5,3275,62799,33460,13775,84404,39543,15116,
249.5,2863,72706,33503,11017,81741,40366,15926,
250.5,2508,82678,33540,8752,79103,41316,16979,
251.5,2201,92341,33569,6912,76489,42303,18179,
252.5,1937,101294,33587,5431,73899,43230,19415,
253.5,1709,109136,33593,4250,71333,44004,20575,
254.5,1512,115502,33584,3315,68789,44541,21558,
255.5,1343,120089,33558,2579,66269,44768,22279,
256.5,1198,122681,33512,2004,63771,44633,22677,
257.5,1073,123166,33444,1557,61296,44107,22718,
258.5,965,121544,33354,1210,58845,43184,22390,
259.5,873,117926,33238,942,56418,41879,21710,
260.5,793,112518,33094,736,54018,40232,20714,
261.5,725,105606,32922,577,51644,38295,19458,
262.5,667,97526,32720,454,49300,36133,18007,
263.5,617,88642,32486,360,46987,33818,16436,
264.5,575,79317,32219,287,44707,31421,14819,
265.5,539,69889,31917,231,42463,29008,13228,
266.5,509,60659,31581,187,40257,26639,11726,
267.5,484,51872,31209,153,38092,24362,10364,
268.5,463,43715,30801,127,35972,22216,9182,
269.5,447,36314,30357,106,33899,20225,8199,
270.5,434,29743,29876,90,31876,18404,7416,
271.5,425,24023,29360,77,29907,16758,6817,
272.5,419,19137,28807,67,27994,15285,6371,
273.5,416,15039,28220,59,26140,13975,6040,
274.5,417,11660,27599,53,24349,12816,5786,
275.5,420,8920,26946,48,22622,11791,5579,
276.5,427,6734,26261,45,20962,10886,5395,
277.5,437,5016,25547,42,19372,10083,5220,
278.5,450,3688,24806,40,17852,9367,5045,
279.5,466,2676,24040,39,16405,8725,4867,
280.5,486,1916,23251,39,15030,8144,4684,
281.5,510,1353,22442,39,13730,7615,4496,
282.5,539,943,21615,40,12504,7128,4305,
283.5,572,649,20775,42,11352,6678,4112,
284.5,611,440,19923,44,10273,6258,3919,
285.5,656,295,19062,47,9267,5865,3727,
286.5,707,194,18197,52,8331,5496,3536,
287.5,766,126,17330,58,7465,5149,3348,
288.5,833,81,16465,65,6667,4822,3162,
289.5,909,51,15605,74,5933,4514,2980,
290.5,995,32,14752,86,5261,4225,2802,
291.5,1093,20,13911,101,4649,3955,2628,
292.5,1205,12,13083,120,4093,3703,2458,
293.5,1330,7,12272,145,3591,3469,2293,
294.5,1472,4,11481,176,3139,3254,2132,
295.5,1632,2,10711,216,2733,3059,1976,
296.5,1812,1,9965,268,2371,2883,1826,
297.5,2014,0,9245,334,2049,2729,1682,
298.5,2241,0,8552,420,1765,2596,1545,
299.5,2495,0,7889,532,1514,2486,1417,
300.5,2778,0,7256,676,1293,2401,1298,
301.5,3094,0,6653,863,1101,2342,1191,
302.5,3446,0,6083,1104,933,2313,1100,
303.5,3835,0,5544,1415,788,2317,1031,
304.5,4266,0,5038,1815,663,2356,989,
305.5,4742,0,4563,2326,556,2437,983,
306.5,5264,0,4121,2976,464,2565,1022,
307.5,5837,0,3709,3798,385,2746,1111,
308.5,6462,0,3328,4829,319,2988,1257,
309.5,7142,0,2977,6112,263,3299,1464,
310.5,7880,0,2654,7690,216,3688,1737,
311.5,8676,0,2358,9612,177,4165,2080,
312.5,9532,0,2089,11921,144,4737,2502,
313.5,10449,0,1844,14659,117,5414,3008,
314.5,11426,0,1622,17855,95,6200,3604,
315.5,12463,0,1423,21521,76,7097,4294,
316.5,13557,0,1243,25651,61,8102,5075,
317.5,14706,0,1083,30206,49,9209,5941,
318.5,15906,0,940,35115,39,10400,6878,
319.5,17152,0,813,40269,31,11653,7866,
320.5,18438,0,701,45523,24,12937,8877,
321.5,19758,0,602,50695,19,14215,9875,
322.5,21103,0,516,55577,15,15442,10822,
323.5,22465,0,440,59945,12,16572,11673,
324.5,23832,0,374,63575,9,17558,12386,
325.5,25196,0,317,66262,7,18356,12924,
326.5,26543,0,268,67835,5,18930,13256,
327.5,27862,0,225,68179,4,19254,13362,
328.5,29140,0,189,67246,3,19316,13240,
329.5,30364,0,158,65061,2,19117,12899,
330.5,31521,0,131,61723,2,18675,12368,
331.5,32600,0,109,57397,1,18022,11690,
332.5,33587,0,90,52302,1,17196,10920,
333.5,34471,0,74,46689,0,16247,10120,
334.5,35242,0,61,40818,0,15224,9352,
335.5,35890,0,50,34941,0,14176,8672,
336.5,36407,0,41,29281,0,13146,8120,
337.5,36786,0,33,24016,0,12167,7713,
338.5,37023,0,27,19278,0,11265,7442,
339.5,37113,0,22,15141,0,10455,7280,
340.5,37055,0,17,11636,0,9742,7190,
341.5,36850,0,14,8748,0,9122,7136,
342.5,36499,0,11,6434,0,8589,7088,
343.5,36006,0,9,4629,0,8129,7027,
344.5,35378,0,7,3258,0,7729,6941,
345.5,34621,0,6,2243,0,7374,6826,
346.5,33745,0,4,1511,0,7052,6680,
347.5,32758,0,3,996,0,6751,6504,
348.5,31672,0,3,642,0,6463,6303,
349.5,30499,0,2,405,0,6181,6080,
350.5,29252,0,2,250,0,5901,5838,
351.5,27943,0,1,151,0,5619,5581,
352.5,26586,0,0,89,0,5335,5313,
353.5,25193,0,0,52,0,5049,5036,
354.5,23778,0,0,29,0,4762,4754,
355.5,22353,0,0,16,0,4474,4470,
356.5,20930,0,0,9,0,4188,4186,
357.5,19520,0,0,5,0,3905,3904,
358.5,18132,0,0,2,0,3627,3626,
359.5,16777,0,0,1,0,3356,3355,
360.5,15462,0,0,0,0,3093,3092,
361.5,14194,0,0,0,0,2839,2839,
362.5,12979,0,0,0,0,2596,2596,
363.5,11822,0,0,0,0,2364,2364,
364.5,10726,0,0,0,0,2145,2145,
365.5,9694,0,0,0,0,1939,1939,
366.5,8727,0,0,0,0,1745,1745,
367.5,7827,0,0,0,0,1565,1565,
368.5,6993,0,0,0,0,1399,1399,
369.5,6223,0,0,0,0,1245,1245,
370.5,5517,0,0,0,0,1103,1103,
371.5,4873,0,0,0,0,975,975,
372.5,4288,0,0,0,0,858,858,
373.5,3759,0,0,0,0,752,752,
374.5,3283,0,0,0,0,657,657,
375.5,2856,0,0,0,0,571,571,
376.5,2476,0,0,0,0,495,495,
377.5,2138,0,0,0,0,428,428,
378.5,1840,0,0,0,0,368,368,
379.5,1577,0,0,0,0,315,315,
380.5,1347,0,0,0,0,269,269,
381.5,1147,0,0,0,0,229,229,
382.5,973,0,0,0,0,195,195,
383.5,822,0,0,0,0,164,164,
384.5,692,0,0,0,0,138,138,
385.5,581,0,0,0,0,116,116,
386.5,485,0,0,0,0,97,97,
387.5,404,0,0,0,0,81,81,
388.5,336,0,0,0,0,67,67,
389.5,278,0,0,0,0,56,56,
390.5,229,0,0,0,0,46,46,
391.5,188,0,0,0,0,38,38,
392.5,154,0,0,0,0,31,31,
393.5,126,0,0,0,0,25,25,
394.5,102,0,0,0,0,20,20,
395.5,83,0,0,0,0,17,17,
396.5,67,0,0,0,0,13,13,
397.5,54,0,0,0,0,11,11,
398.5,43,0,0,0,0,9,9,
399.5,35,0,0,0,0,7,7,
400.5,28,0,0,0,0,6,6,
401.5,22,0,0,0,0,4,4,
402.5,17,0,0,0,0,3,3,
403.5,14,0,0,0,0,3,3,
404.5,11,0,0,0,0,2,2,
405.5,8,0,0,0,0,2,2,
406.5,7,0,0,0,0,1,1,
407.5,5,0,0,0,0,1,1,
408.5,4,0,0,0,0,0,0,
409.5,3,0,0,0,0,0,0,
410.5,2,0,0,0,0,0,0,
411.5,2,0,0,0,0,0,0,
412.5,1,0,0,0,0,0,0,
413.5,1,0,0,0,0,0,0,
414.5,0,0,0,0,0,0,0,
415.5,0,0,0,0,0,0,0,
416.5,0,0,0,0,0,0,0,
417.5,0,0,0,0,0,0,0,
418.5,0,0,0,0,0,0,0,
419.5,0,0,0,0,0,0,0,
420.5,0,0,0,0,0,0,0,
421.5,0,0,0,0,0,0,0,
422.5,0,0,0,0,0,0,0,
423.5,0,0,0,0,0,0,0,
424.5,0,0,0,0,0,0,0,
425.5,0,0,0,0,0,0,0,
426.5,0,0,0,0,0,0,0,
427.5,0,0,0,0,0,0,0,
