NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
40.5,2305474,812002,8774513,3331042,4363327,3917271,1348629,
41.5,2726223,942478,9570105,4014974,5096767,4470109,1450778,
42.5,3168511,1109271,10335215,4713665,5885465,5042425,1546184,
43.5,3627645,1322811,11065979,5427476,6733425,5635467,1633548,
44.5,4099270,1596600,11761160,6166140,7643226,6253279,1711735,
45.5,4579257,1948013,12421736,6945755,8614595,6901871,1779600,
46.5,5063577,2399066,13050274,7785344,9643181,7588288,1835714,
47.5,5548254,2976946,13650192,8703610,10719704,8319741,1878131,
48.5,6029412,3713921,14224985,9715976,11829644,9102788,1904392,
49.5,6503442,4645992,14777501,10831781,12953560,9942455,1911997,
50.5,6967214,5809479,15309324,12051523,14068079,10841124,1899576,
51.5,7418266,7234665,15820301,13364223,15147430,11796977,1868913,
52.5,7854894,8936043,16308247,14745253,16165322,12801952,1827586,
53.5,8276059,10899782,16768852,16155229,17096881,13839361,1790922,
54.5,8681109,13070987,17195797,17540674,17920386,14881791,1780236,
55.5,9069333,15345424,17581101,18837061,18618612,15890306,1813951,
56.5,9439403,17571572,17915679,19974459,19179683,16816159,1894165,
57.5,9788830,19567293,18190089,20885315,19597476,17605800,2000198,
58.5,10113530,21150497,18395397,21513230,19871617,18208854,2096497,
59.5,10407637,22176402,18524084,21820995,20007183,18587260,2147852,
60.5,10663645,22569179,18570879,21796098,20014161,18722792,2131671,
61.5,10872947,22336535,18533415,21452383,19906705,18620397,2043465,
62.5,11026754,21562510,18412631,20827491,19702191,18306315,1896192,
63.5,11117295,20382669,18212844,19976781,19420112,17821940,1715516,
64.5,11139121,18952000,17941521,18965242,19080832,17215743,1533069,
65.5,11090275,17416213,17608762,17859196,18704304,16535750,1379020,
66.5,10973087,15893121,17226600,16719339,18308832,15824196,1274352,
67.5,10794395,14465373,16808193,15596043,17909994,15114800,1224744,
68.5,10565142,13182015,16367014,14527125,17519806,14432220,1220715,
69.5,10299419,12064950,15916111,13537730,17146172,13792876,1245146,
70.5,10013134,11116870,15467491,12641704,16792659,13206372,1281713,
71.5,9722579,10328495,15031654,11843763,16458572,12677013,1318769,
72.5,9443117,9684178,14617273,11141898,16139340,12205161,1349274,
73.5,9188168,9165767,14231005,10529660,15827172,11788354,1369340,
74.5,8968554,8754994,13877416,9998112,15511983,11422212,1376895,
75.5,8792189,8434806,13558981,9537403,15182532,11101182,1370850,
76.5,8664021,8189992,13276149,9137945,14827712,10819164,1350720,
77.5,8586137,8007378,13027435,8791251,14437866,10570014,1316550,
78.5,8557919,7875771,12809567,8490441,14005999,10347940,1268998,
79.5,8576212,7785778,12617643,8230466,13528699,10147760,1209459,
80.5,8635464,7729550,12445348,8008081,13006634,9965015,1140134,
81.5,8727865,7700504,12285220,7821607,12444534,9795946,1063983,
82.5,8843537,7693051,12128973,7670539,11850668,9637354,984524,
83.5,8970810,7702338,11967905,7555062,11235909,9486405,905467,
84.5,9096649,7724040,11793365,7475523,10612563,9340428,830218,
85.5,9207251,7754183,11597267,7431924,9993158,9196757,761330,
86.5,9288800,7789041,11372619,7423438,9389379,9052655,700088,
87.5,9328316,7825071,11114024,7447991,8811270,8905334,646409,
88.5,9314525,7858915,10818079,7501923,8266760,8752040,599202,
89.5,9238632,7887439,10483650,7579729,7761507,8590192,557103,
90.5,9094920,7907815,10111965,7673951,7298995,8417529,519317,
91.5,8881085,7917610,9706509,7775232,6880808,8232249,486245,
92.5,8598303,7914897,9272739,7872616,6507004,8033112,459612,
93.5,8251026,7898344,8817647,7954097,6176515,7819526,441941,
94.5,7846564,7867278,8349221,8007444,5887529,7591607,435418,
95.5,7394510,7821721,7875869,8021210,5637822,7350226,440631,
96.5,6906071,7762365,7405876,7985828,5425028,7097034,456074,
97.5,6393371,7690518,6946926,7894617,5246838,6834454,478775,
98.5,5868756,7607992,6505746,7744515,5101151,6565632,505480,
99.5,5344163,7516954,6087874,7536412,4986151,6294311,533589,
100.5,4830557,7419759,5697551,7275001,4900359,6024645,561542,
101.5,4337481,7318758,5337729,6968195,4842631,5760959,588765,
102.5,3872734,7216117,5010154,6626207,4812130,5507469,615395,
103.5,3442190,7113639,4715518,6260478,4808272,5268020,641933,
104.5,3049768,7012616,4453627,5882611,4830640,5045852,668944,
105.5,2697530,6913703,4223589,5503475,4878875,4843434,696851,
106.5,2385899,6816843,4023977,5132552,4952549,4662364,725841,
107.5,2113953,6721217,3852983,4777565,5050993,4503342,755852,
108.5,1879753,6625256,3708532,4444353,5173116,4366202,786623,
109.5,1680682,6526697,3588377,4136949,5317187,4249978,817746,
110.5,1513748,6422692,3490156,3857795,5480600,4152998,848710,
111.5,1375852,6309986,3411437,3608015,5659642,4072987,878920,
112.5,1263987,6185138,3349740,3387716,5849274,4007171,907686,
113.5,1175383,6044801,3302546,3196269,6042970,3952394,934197,
114.5,1107610,5886027,3267312,3032547,6232667,3905233,957489,
115.5,1058621,5706582,3241481,2895120,6408849,3862131,976416,
116.5,1026776,5505226,3222498,2782398,6560839,3819547,989644,
117.5,1010831,5281936,3207846,2692721,6677310,3774129,995688,
118.5,1009917,5038016,3195085,2624419,6747023,3722892,992985,
119.5,1023492,4776093,3181910,2575828,6759740,3663413,980030,
120.5,1051300,4499971,3166210,2545280,6707228,3593998,955539,
121.5,1093295,4214365,3146141,2531072,6584216,3513818,918641,
122.5,1149565,3924553,3120186,2531418,6389163,3422977,869045,
123.5,1220240,3635982,3087209,2544391,6124669,3322498,807178,
124.5,1305371,3353882,3046493,2567865,5797460,3214214,734243,
125.5,1404810,3082942,2997754,2599469,5417893,3100574,652210,
126.5,1518065,2827064,2941131,2636549,4999053,2984372,563764,
127.5,1644157,2589231,2877150,2676174,4555569,2868456,472243,
128.5,1781496,2371475,2806669,2715172,4102331,2755429,381730,
129.5,1927777,2174921,2730805,2750218,3653296,2647403,297527,
130.5,2079929,1999912,2650854,2777968,3220524,2545837,227510,
131.5,2234131,1846150,2568205,2795239,2813560,2451457,183924,
132.5,2385916,1712859,2484266,2799215,2439168,2364285,178044,
133.5,2530348,1598943,2400386,2787658,2101382,2283743,203784,
134.5,2662297,1503116,2317806,2759092,1801809,2208824,243310,
135.5,2776749,1424009,2237615,2712940,1540077,2138278,284234,
136.5,2869162,1360250,2160720,2649582,1314345,2070812,320746,
137.5,2935794,1310512,2087835,2570322,1121792,2005251,350371,
138.5,2973979,1273540,2019476,2477280,959053,1940666,372191,
139.5,2982320,1248160,1955968,2373197,822560,1876441,386100,
140.5,2960761,1233260,1897452,2261209,708799,1812296,392475,
141.5,2910551,1227777,1843901,2144601,614474,1748261,392016,
142.5,2834095,1230657,1795133,2026579,536607,1684614,385646,
143.5,2734728,1240823,1750828,1910080,472583,1621808,374447,
144.5,2616428,1257137,1710543,1797643,420156,1560381,359593,
145.5,2483520,1278367,1673723,1691333,377433,1500875,342299,
146.5,2340392,1303161,1639720,1592717,342842,1443766,323753,
147.5,2191246,1330039,1607804,1502892,315100,1389416,305056,
148.5,2039909,1357396,1577183,1422533,293172,1338039,287147,
149.5,1889701,1383535,1547020,1351964,276240,1289692,270740,
150.5,1743363,1406716,1516461,1291231,263669,1244288,256257,
151.5,1603043,1425230,1484660,1240176,254985,1201619,243809,
152.5,1470312,1437491,1450813,1198493,249855,1161393,233206,
153.5,1346225,1442131,1414192,1165785,248066,1123280,224032,
154.5,1231380,1438099,1374184,1141594,249521,1086956,215748,
155.5,1126008,1424739,1330327,1125429,254227,1052146,207811,
156.5,1030041,1401842,1282339,1116776,262296,1018659,199775,
157.5,943193,1369668,1230145,1115106,273944,986411,191355,
158.5,865020,1328924,1173887,1119864,289496,955438,182469,
159.5,794976,1280704,1113925,1130467,309391,925892,173250,
160.5,732458,1226404,1050819,1146287,334192,898032,164032,
161.5,676841,1167614,985303,1166643,364595,872199,155336,
162.5,627501,1106006,918237,1190785,401435,848793,147824,
163.5,583833,1043230,850561,1217893,445694,828242,142236,
164.5,545269,980818,783237,1247071,498498,810979,139291,
165.5,511277,920125,717199,1277359,561107,797413,139563,
166.5,481369,862285,653301,1307740,634886,787916,143398,
167.5,455103,808194,592282,1337172,721259,782802,150904,
168.5,432080,758518,534740,1364609,821623,782314,162040,
169.5,411941,713713,481116,1389043,937241,786611,176725,
170.5,394366,674056,431697,1409539,1069074,795747,194923,
171.5,379071,639686,386621,1425270,1217587,809647,216638,
172.5,365804,610635,345895,1435554,1382498,828077,241856,
173.5,354339,586869,309421,1439875,1562517,850604,270442,
174.5,344477,568316,277012,1437901,1755072,876556,302032,
175.5,336038,554894,248424,1429490,1956082,904985,335950,
176.5,328864,546529,223370,1414679,2159819,934652,371147,
177.5,322810,543171,201547,1393673,2358919,964024,406200,
178.5,317747,544800,182646,1366820,2544601,991323,439358,
179.5,313556,551433,166365,1334576,2707116,1014609,468641,
180.5,310130,563117,152419,1297482,2836456,1031921,491993,
181.5,307365,579921,140545,1256124,2923250,1041441,507483,
182.5,305170,601921,130505,1211111,2959781,1041698,513512,
183.5,303453,629178,122086,1163045,2940959,1031744,509033,
184.5,302132,661704,115101,1112504,2865106,1011309,493718,
185.5,301123,699425,109390,1060029,2734389,980871,468073,
186.5,300348,742132,104816,1006115,2554796,941642,433461,
187.5,299731,789428,101262,951211,2335623,895451,392050,
188.5,299196,840671,98630,895717,2088540,844551,346695,
189.5,298671,894919,96842,839993,1826372,791359,300785,
190.5,298083,950889,95832,784364,1561806,738195,258073,
191.5,297362,1006925,95548,729130,1306208,687035,222394,
192.5,296442,1061013,95949,674570,1068742,639343,197014,
193.5,295258,1110820,97003,620952,855868,595980,183390,
194.5,293749,1153798,98685,568537,671244,557203,180098,
195.5,291858,1187321,100979,517582,515973,522743,183430,
196.5,289533,1208883,103870,468341,389084,491942,189303,
197.5,286729,1216312,107348,421061,288127,463916,194599,
198.5,283409,1208000,111406,375981,209780,437715,197407,
199.5,279542,1183100,116035,333322,150364,412473,196771,
