NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
44.5,14427,646309,1309,363622,63060,217745,125908,
45.5,30754,778704,4364,470725,112307,279371,150216,
46.5,58432,936002,13622,603029,186574,359532,177741,
47.5,100460,1120578,39490,765936,290316,463356,207942,
48.5,158617,1333757,105452,965592,426125,597909,238921,
49.5,233320,1575645,257309,1208457,595355,774017,266703,
50.5,324156,1845101,569166,1500523,799576,1007704,286965,
51.5,430881,2139787,1133044,1846143,1042062,1318383,304269,
52.5,554509,2456234,2018414,2246497,1328565,1720844,347842,
53.5,698242,2789875,3207701,2697941,1667038,2212159,455519,
54.5,868134,3135056,4549570,3190609,2066254,2761924,615998,
55.5,1073581,3485090,5784148,3707815,2533490,3316825,771836,
56.5,1327678,3832459,6647318,4226745,3071540,3821148,864036,
57.5,1647441,4169203,6988735,4720654,3675509,4240308,861150,
58.5,2053656,4487514,6822060,5162310,4330182,4571144,768730,
59.5,2569901,4780400,6286033,5527938,5008900,4834635,622477,
60.5,3220062,5042289,5562021,5800629,5674789,5059958,477714,
61.5,4023593,5269402,4805552,5972351,6284597,5271099,405706,
62.5,4988136,5459810,4117054,6044118,6794550,5480734,455315,
63.5,6100082,5613172,3544551,6024518,7166888,5689842,594564,
64.5,7315248,5730237,3100182,5927221,7375480,5889674,776143,
65.5,8553613,5812265,2777118,5768246,7409226,6064094,973710,
66.5,9702674,5860486,2561428,5563623,7272713,6192185,1165731,
67.5,10632314,5875729,2438580,5327788,6984336,6251750,1327806,
68.5,11219818,5858275,2396050,5072775,6572676,6223919,1435132,
69.5,11378417,5807924,2423544,4808051,6072057,6097999,1468557,
70.5,11079573,5724248,2511860,4540766,5518184,5874926,1420009,
71.5,10360589,5606952,2650982,4276202,4944459,5567837,1294932,
72.5,9314745,5456253,2827901,4018237,4379338,5199295,1111164,
73.5,8068130,5273209,3024772,3769733,3844859,4796140,895257,
74.5,6751853,5059925,3218212,3532810,3356220,4383804,678363,
75.5,5478474,4819612,3380629,3308998,2922242,3981991,493897,
76.5,4328109,4556492,3483962,3099312,2546384,3602852,375449,
77.5,3345106,4275583,3505232,2904284,2228045,3251650,338372,
78.5,2542761,3982409,3432156,2723969,1963899,2929039,352525,
79.5,1912133,3682670,3266541,2557979,1749062,2633677,374820,
80.5,1431462,3381933,3023877,2405530,1578023,2364165,384756,
81.5,1073959,3085370,2729200,2265514,1445293,2119867,379056,
82.5,813112,2797550,2410927,2136588,1345812,1900798,361321,
83.5,625628,2522310,2094989,2017284,1275139,1707070,336705,
84.5,492586,2262679,1801007,1906107,1229501,1538376,309669,
85.5,399471,2020871,1541009,1801634,1205729,1393743,283309,
86.5,335644,1798308,1320170,1702599,1201129,1271570,259473,
87.5,293639,1595696,1138605,1607958,1213311,1169842,239154,
88.5,268483,1413110,993346,1516921,1239998,1086372,222860,
89.5,257152,1250107,879975,1428969,1278840,1019009,210801,
90.5,258194,1105834,793755,1343836,1327251,965774,202913,
91.5,271495,979145,730272,1261473,1382295,924936,198778,
92.5,298186,868701,685735,1181996,1440651,895054,197582,
93.5,340633,773068,657043,1105624,1498678,875009,198192,
94.5,402461,690785,641736,1032623,1552577,864036,199373,
95.5,488505,620431,637894,963254,1598651,861747,200123,
96.5,604561,560662,644015,897736,1633619,868119,200135,
97.5,756754,510247,658907,836217,1654924,883410,200394,
98.5,950334,468079,681586,778770,1660989,907952,203750,
99.5,1187859,433185,711206,725391,1651354,941799,214792,
100.5,1466919,404727,746997,676007,1626676,984265,237995,
101.5,1777956,381996,788229,630497,1588585,1033452,274714,
102.5,2103060,364404,834186,588700,1539441,1085958,321826,
103.5,2416687,351474,884155,550439,1482030,1136957,372940,
104.5,2688819,342833,937413,515533,1419258,1180771,420416,
105.5,2890220,338194,993230,483803,1353883,1211866,457068,
106.5,2998410,337349,1050849,455088,1288325,1226004,477494,
107.5,3002478,340153,1109478,429243,1224550,1221180,479003,
108.5,2905118,346511,1168264,406142,1164020,1198011,461972,
109.5,2721325,356364,1226262,385680,1107708,1159468,429550,
110.5,2474422,369666,1282409,367769,1056145,1110082,386864,
111.5,2190924,386368,1335485,352340,1009487,1054921,339990,
112.5,1895810,406393,1384099,339335,967588,998645,294949,
113.5,1609293,429609,1426675,328711,930068,944871,256803,
114.5,1345400,455809,1461476,320437,896382,895901,228776,
115.5,1112080,484678,1486648,314493,865867,852753,211477,
116.5,912273,515780,1500304,310870,837792,815404,202892,
117.5,745344,548539,1500651,309568,811403,783101,199544,
118.5,608482,582237,1486140,310600,785956,754683,198032,
119.5,497815,616024,1455646,313982,760754,728844,195892,
120.5,409194,648939,1408640,319737,735181,704338,191715,
121.5,338676,679953,1345347,327891,708730,680119,184932,
122.5,282764,708019,1266839,338462,681024,655422,175583,
123.5,238501,732129,1175061,351454,651838,629797,164143,
124.5,203462,751381,1072753,366854,621103,603110,151395,
125.5,175704,765031,963274,384613,588899,575504,138337,
126.5,153694,772549,850351,404640,555447,547336,126080,
127.5,136235,773643,737771,426789,521081,519104,115698,
128.5,122402,768276,629065,450851,486216,491362,108038,
129.5,111484,756655,527238,476542,451316,464647,103496,
130.5,102936,739212,434572,503503,416856,439416,101916,
131.5,96348,716556,352529,531295,383292,416004,102690,
132.5,91410,689434,281756,559410,351031,394608,105035,
133.5,87898,658673,222175,587279,320416,375288,108235,
134.5,85650,625134,173143,614289,291711,357985,111755,
135.5,84561,589665,133620,639809,265099,342551,115247,
136.5,84572,553069,102353,663212,240686,328778,118494,
137.5,85665,516069,78023,683906,218506,316434,121362,
138.5,87859,479302,59357,701358,198536,305282,123755,
139.5,91208,443300,45205,715123,180703,295108,125596,
140.5,95803,408496,34577,724858,164901,285727,126818,
141.5,101770,375222,26652,730337,150999,276996,127361,
142.5,109271,343723,20775,731460,138854,268816,127185,
143.5,118504,314162,16433,728245,128317,261132,126267,
144.5,129704,286634,13236,720826,119244,253929,124613,
145.5,143139,261177,10892,709433,111492,247227,122258,
146.5,159104,237784,9185,694380,104932,241077,119273,
147.5,177909,216410,7961,676041,99443,235553,115768,
148.5,199860,196984,7108,654835,94919,230741,111895,
149.5,225233,179414,6553,631198,91264,226732,107857,
150.5,254232,163595,6247,605573,88393,223608,103915,
151.5,286946,149414,6164,578395,86234,221431,100379,
152.5,323281,136755,6301,550076,84724,220227,97600,
153.5,362902,125499,6670,520999,83807,219976,95919,
154.5,405163,115532,7308,491512,83435,220590,95604,
155.5,449052,106742,8278,461928,83564,221913,96758,
156.5,493166,99023,9676,432522,84156,223709,99258,
157.5,535720,92275,11644,403531,85174,225669,102739,
158.5,574614,86405,14386,375161,86582,227430,106648,
159.5,607564,81329,18186,347582,88346,228601,110319,
160.5,632288,76967,23440,320939,90428,228812,113063,
161.5,646745,73248,30680,295349,92790,227762,114247,
162.5,649379,70106,40611,270907,95391,225279,113357,
163.5,639346,67481,54129,247687,98187,221366,110050,
164.5,616667,65320,72324,225743,101129,216236,104204,
165.5,582282,63571,96443,205112,104168,210315,95957,
166.5,537981,62186,127789,185815,107250,204204,85777,
167.5,486214,61122,167530,167858,110320,198609,74608,
168.5,429825,60335,216413,151234,113323,194226,64156,
169.5,371737,59782,274395,135922,116204,191608,57212,
