NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
42.5,0,350198,317012,524409,168929,272110,88447,
43.5,0,434318,381663,490051,227018,306610,88300,
44.5,0,536016,452252,448431,296304,346601,94887,
45.5,0,658459,529816,412744,375556,395315,110522,
46.5,0,804830,615938,391110,462703,454916,134061,
47.5,0,977942,712654,388292,555152,526808,163643,
48.5,0,1179728,822318,408138,650161,612069,198004,
49.5,0,1410633,947430,455620,745165,711770,236357,
50.5,0,1669003,1090422,538242,837991,827132,278010,
51.5,0,1950613,1253387,666824,926958,959556,322183,
52.5,0,2248468,1437749,855400,1010895,1110503,368122,
53.5,0,2553044,1643898,1119693,1089101,1281147,415548,
54.5,0,2852993,1870813,1473513,1161296,1471723,465270,
55.5,0,3136279,2115752,1923047,1227563,1680528,519461,
56.5,0,3391547,2374086,2460291,1288303,1902845,580841,
57.5,0,3609458,2639346,3058418,1344175,2130279,650562,
58.5,0,3783719,2903549,3672325,1396048,2351128,726052,
59.5,0,3911617,3157786,4245955,1444927,2552057,800729,
60.5,0,3993974,3393020,4724665,1491880,2720708,866064,
61.5,0,4034614,3600953,5067984,1537967,2848304,914620,
62.5,0,4039496,3774834,5257764,1584151,2931249,942322,
63.5,0,4015729,3910055,5299199,1631238,2971244,949094,
64.5,0,3970652,4004440,5215583,1679806,2974096,938068,
65.5,0,3911095,4058217,5039971,1730152,2947887,914066,
66.5,0,3842881,4073707,4807077,1782260,2901185,882125,
67.5,0,3770571,4054821,4547510,1835769,2841734,846505,
68.5,0,3697396,4006475,4284871,1889970,2775742,810276,
69.5,0,3625338,3934025,4035188,1943819,2707674,775349,
70.5,0,3555300,3842780,3807768,1995972,2640364,742715,
71.5,0,3487326,3737655,3606652,2044844,2575295,712745,
72.5,0,3420829,3622938,3432113,2088689,2512914,685423,
73.5,0,3354828,3502198,3281943,2125705,2452935,660514,
74.5,0,3288151,3378271,3152445,2154138,2394601,637664,
75.5,0,3219618,3253319,3039165,2172403,2336901,616456,
76.5,0,3148187,3128929,2937420,2179185,2278744,596456,
77.5,0,3073056,3006218,2842694,2173528,2219099,577241,
78.5,0,2993727,2885952,2750939,2154901,2157104,558431,
79.5,0,2910029,2768645,2658801,2123221,2092139,539709,
80.5,0,2822099,2654640,2563777,2078862,2023876,520846,
81.5,0,2730344,2544182,2464294,2022620,1952288,501709,
82.5,0,2635379,2437458,2359702,1955661,1877640,482264,
83.5,0,2537953,2334631,2250198,1879454,1800447,462569,
84.5,0,2438881,2235853,2136666,1795686,1721417,442754,
85.5,0,2338976,2141271,2020488,1706184,1641384,423000,
86.5,0,2239006,2051024,1903334,1612822,1561237,403510,
87.5,0,2139648,1965232,1786956,1517452,1481858,384486,
88.5,0,2041475,1883993,1673025,1421829,1404064,366106,
89.5,0,1944946,1807366,1563007,1327558,1328575,348513,
90.5,0,1850410,1735370,1458084,1236045,1255982,331805,
91.5,0,1758122,1667973,1359129,1148472,1186739,316038,
92.5,0,1668255,1605097,1266703,1065779,1121167,301227,
93.5,0,1580925,1546610,1181091,988667,1059459,287359,
94.5,0,1496210,1492334,1102341,917609,1001699,274396,
95.5,0,1414164,1442047,1030313,852868,947879,262290,
96.5,0,1334835,1395490,964731,794532,897918,250986,
97.5,0,1258273,1352374,905221,742542,851682,240432,
98.5,0,1184536,1312384,851354,696725,809000,230576,
99.5,0,1113692,1275188,802673,656831,769677,221372,
100.5,0,1045817,1240444,758714,622554,733506,212779,
101.5,0,980990,1207804,719023,593564,700276,204757,
102.5,0,919288,1176922,683170,569522,669780,197267,
103.5,0,860778,1147458,650750,550095,641816,190268,
