NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,EMT4 d200 2021-04-01 16-50-46.nano,
Operator Name,MG,
Time Captured,16:50:46  01/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,EMT4 d200 2021-04-01 16-51-06,EMT4 d200 2021-04-01 16-52-19,EMT4 d200 2021-04-01 16-53-33,EMT4 d200 2021-04-01 16-54-46,EMT4 d200 2021-04-01 16-55-59,
,,,,,,
[Conditions],,,,,,
Temperature/C,26.791,26.745,26.717,26.690,26.651,
Viscosity/cP,0.853577,0.854451,0.854984,0.855498,0.856241,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,16.2234,15.5548,17.4371,17.0212,16.0141,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
99.5,2148549,1772693,1186138,711513,3143750,1792528,417687,
100.5,2107916,1820129,1133203,689353,3052180,1760556,408261,
101.5,2070125,1861625,1096069,687039,2924715,1727915,390510,
102.5,2035304,1891600,1072178,703190,2768066,1694068,365891,
103.5,2003293,1904330,1059078,737300,2590366,1658873,335828,
104.5,1973687,1894550,1054361,789491,2400205,1622459,301567,
105.5,1945883,1858177,1055608,860228,2205753,1585130,264173,
106.5,1919131,1793011,1060368,949988,2014103,1547320,224769,
107.5,1892589,1699271,1066169,1058850,1830882,1509552,185160,
108.5,1865384,1579796,1070590,1186016,1660119,1472381,149110,
109.5,1836663,1439821,1071365,1329274,1504326,1436290,124411,
110.5,1805655,1286335,1066526,1484506,1364707,1401546,121872,
111.5,1771713,1127143,1054555,1645333,1241435,1368036,143558,
112.5,1734363,969853,1034507,1803069,1133936,1335146,179253,
113.5,1693326,820982,1006093,1947123,1041144,1301734,218667,
114.5,1648541,685372,969682,2065924,961708,1266245,255318,
115.5,1600163,565969,926243,2148314,894146,1226967,285156,
116.5,1548551,463931,877211,2185201,836959,1182370,305642,
117.5,1494238,378970,824314,2171129,788690,1131468,315483,
118.5,1437894,309795,769393,2105350,747974,1074081,314578,
119.5,1380283,254546,714232,1992109,713547,1010944,303950,
120.5,1322217,211158,660425,1840014,684262,943615,285554,
121.5,1264503,177620,609290,1660652,659082,874229,261966,
122.5,1207915,152132,561835,1466795,637086,805153,235995,
123.5,1153151,133186,518758,1270622,617462,738636,210289,
124.5,1100817,119580,480483,1082338,599511,676546,186984,
125.5,1051412,110419,447208,909385,582644,620214,167449,
126.5,1005321,105090,418968,756267,566386,570406,152178,
127.5,962820,103239,395683,624859,550375,527395,140869,
128.5,924083,104760,377219,514988,534357,491081,132692,
129.5,889190,109800,363423,425107,518181,461140,126643,
130.5,858145,118768,354155,352916,501790,437155,121813,
131.5,830888,132378,349320,295845,485206,418727,117518,
132.5,807304,151693,348878,251385,468514,405555,113312,
133.5,787239,178195,352860,217285,451843,397484,108953,
134.5,770508,213854,361369,191648,435350,394546,104386,
135.5,756904,261176,374589,172951,419200,396964,99793,
136.5,746202,323216,392773,160035,403555,405156,95725,
137.5,738165,403488,416241,152070,388561,419705,93352,
138.5,732550,505726,445362,148527,374340,441301,94656,
139.5,729106,633416,480530,149145,360984,470636,102172,
140.5,727578,789064,522130,153914,348555,508248,117943,
141.5,727711,973209,570497,163068,337085,554314,142489,
142.5,729249,1183272,625858,177080,326575,608407,174764,
143.5,731939,1412506,688268,196671,317002,669277,212618,
144.5,735531,1649381,757536,222810,308321,734716,253080,
145.5,739783,1877829,833150,256704,300467,801586,292501,
146.5,744460,2078611,914210,299762,293362,866081,326807,
147.5,749342,2231863,999374,353525,286919,924205,351995,
148.5,754221,2320385,1086837,419521,281042,972401,364788,
149.5,758907,2332958,1174341,499064,275636,1008181,363360,
150.5,763231,2266746,1259245,592959,270604,1030557,347918,
151.5,767041,2128044,1338635,701156,265856,1040146,321064,
152.5,770211,1931115,1409486,822367,261311,1038898,287846,
153.5,772635,1695442,1468859,953752,256896,1029517,255455,
154.5,774230,1442186,1514118,1090731,252554,1014764,232017,
155.5,774933,1190821,1543134,1227055,248243,996837,223462,
156.5,774702,956700,1554463,1355179,243937,976996,229695,
157.5,773513,749895,1547461,1466962,239629,955492,244936,
158.5,771358,575266,1522340,1554601,235328,931779,262159,
159.5,768240,433375,1480137,1611654,231058,904893,276177,
160.5,764176,321795,1422619,1633943,226859,873878,284102,
161.5,759191,236427,1352127,1620131,222782,838132,284838,
162.5,753316,172568,1271386,1571867,218890,797606,278522,
163.5,746588,125646,1183302,1493461,215253,752850,266104,
164.5,739044,91630,1090768,1391185,211944,704914,249013,
165.5,730728,67205,996498,1272370,209042,655169,228898,
166.5,721679,49769,902901,1144484,206627,605092,207411,
167.5,711940,37354,811993,1014358,204779,556085,186050,
168.5,701552,28517,725366,887647,203579,509332,166044,
169.5,690556,22216,644181,768575,203108,465727,148287,
170.5,678991,17714,569196,659907,203447,425851,133313,
171.5,666895,14493,500817,563105,204680,389998,121298,
172.5,654308,12195,439153,478576,206890,358224,112102,
173.5,641265,10570,384083,405957,210168,330409,105351,
174.5,627805,9450,335314,344384,214605,306312,100545,
175.5,613964,8722,292436,292712,220300,285627,97171,
176.5,599777,8313,254969,249690,227359,268021,94781,
177.5,585281,8181,222398,214073,235891,253165,93030,
178.5,570511,8309,194206,184702,246014,240749,91681,
179.5,555503,8699,169888,160539,257850,230496,90592,
180.5,540290,9377,148971,140679,271521,222168,89698,
181.5,524906,10387,131020,124354,287151,215564,88989,
182.5,509385,11799,115639,110922,304857,210520,88496,
183.5,493758,13712,102478,99849,324742,206908,88278,
184.5,478055,16258,91229,90696,346893,204626,88409,
185.5,462306,19614,81621,83103,371361,203601,88972,
186.5,446539,24002,73422,76776,398162,203780,90044,
187.5,430781,29703,66432,71471,427255,205128,91688,
188.5,415055,37052,60481,66988,458533,207622,93943,
189.5,399387,46444,55423,63162,491809,211245,96820,
190.5,383799,58316,51138,59853,526806,215982,100295,
191.5,368312,73121,47520,56944,563141,221808,104316,
192.5,352947,91288,44486,54337,600327,228677,108803,
193.5,337726,113155,41963,51948,637764,236511,113661,
194.5,322668,138889,39893,49708,674750,245181,118782,
195.5,307793,168395,38229,47558,710486,254492,124052,
196.5,293123,201229,36931,45453,744104,264168,129347,
197.5,278676,236529,35971,43355,774689,273844,134531,
198.5,264476,272992,35325,41241,801314,283069,139442,
199.5,250542,308922,34979,39094,823084,291324,143888,
200.5,236898,342340,34922,36907,839180,298049,147641,
201.5,223566,371172,35151,34682,848897,302693,150449,
202.5,210568,393480,35667,32428,851695,304768,152062,
203.5,197927,407704,36477,30160,847224,303898,152259,
204.5,185665,412863,37594,27897,835358,299875,150883,
205.5,173803,408683,39033,25660,816205,292677,147869,
206.5,162363,395626,40816,23471,790106,282476,143248,
207.5,151361,374806,42971,21353,757628,269624,137151,
208.5,140817,347828,45527,19324,719532,254606,129782,
209.5,130743,316568,48521,17402,676737,237994,121395,
210.5,121151,282953,51992,15600,630278,220395,112265,
211.5,112050,248764,55982,13927,581255,202396,102666,
212.5,103446,215498,60536,12389,530779,184530,92852,
213.5,95341,184290,65700,10987,479928,167249,83054,
214.5,87734,155898,71517,9721,429702,150914,73477,
215.5,80619,130730,78027,8585,380987,135790,64307,
216.5,73989,108908,85263,7574,334533,122053,55718,
217.5,67834,90337,93246,6679,290936,109806,47884,
218.5,62139,74778,101982,5892,250632,99085,40997,
219.5,56889,61912,111453,5203,213906,89873,35277,
220.5,52066,51384,121618,4602,180895,82113,30963,
221.5,47649,42843,132401,4081,151611,75717,28261,
222.5,43617,35963,143689,3630,125960,70572,27221,
223.5,39950,30450,155326,3241,103761,66546,27645,
224.5,36623,26057,167114,2907,84773,63495,29141,
225.5,33616,22572,178809,2620,68711,61266,31283,
226.5,30905,19825,190126,2375,55269,59700,33716,
227.5,28469,17678,200744,2166,44136,58638,36181,
228.5,26286,16023,210319,1989,35004,57924,38494,
229.5,24337,14775,218499,1839,27584,57407,40521,
230.5,22603,13872,224938,1713,21608,56947,42164,
231.5,21066,13266,229321,1609,16835,56420,43346,
232.5,19710,12927,231382,1524,13053,55719,44013,
233.5,18519,12834,230929,1455,10077,54763,44127,
234.5,17481,12981,227856,1402,7752,53494,43673,
235.5,16582,13369,222160,1364,5946,51884,42653,
236.5,15812,14013,213946,1338,4551,49932,41095,
237.5,15162,14934,203425,1326,3478,47665,39044,
238.5,14624,16166,190902,1326,2657,45135,36566,
239.5,14191,17754,176764,1338,2030,42416,33744,
240.5,13857,19756,161449,1364,1554,39596,30670,
241.5,13620,22239,145429,1404,1192,36777,27450,
242.5,13475,25285,129170,1459,917,34061,24195,
243.5,13422,28987,113115,1530,709,31553,21024,
244.5,13459,33446,97656,1620,551,29346,18074,
245.5,13589,38768,83115,1731,431,27527,15509,
246.5,13814,45057,69740,1867,340,26163,13538,
247.5,14137,52403,57694,2031,270,25307,12403,
248.5,14564,60872,47063,2228,217,24989,12279,
249.5,15101,70486,37862,2466,177,25218,13146,
250.5,15757,81203,30046,2751,145,25980,14795,
251.5,16540,92898,23526,3092,121,27235,16967,
252.5,17463,105341,18180,3503,103,28918,19446,
253.5,18538,118190,13871,3996,88,30937,22063,
254.5,19780,130982,10453,4589,77,33176,24672,
255.5,21205,143145,7784,5303,69,35501,27136,
256.5,22832,154030,5730,6163,62,37763,29315,
257.5,24680,162954,4171,7201,57,39813,31070,
258.5,26769,169266,3006,8454,54,41510,32275,
259.5,29121,172415,2144,9966,52,42740,32822,
260.5,31758,172020,1516,11792,51,43427,32643,
261.5,34701,167930,1062,13994,51,43548,31717,
262.5,37970,160259,738,16646,52,43133,30083,
263.5,41585,149382,510,19833,54,42273,27841,
264.5,45561,135908,350,23653,57,41106,25157,
265.5,49906,120614,238,28216,62,39807,22261,
266.5,54627,104362,162,33641,69,38572,19453,
267.5,59719,88004,109,40055,77,37593,17102,
268.5,65168,72302,74,47591,89,37045,15617,
269.5,70949,57863,50,56376,103,37068,15313,
270.5,77023,45104,33,66527,122,37762,16222,
271.5,83337,34244,22,78138,147,39178,18095,
272.5,89821,25326,15,91262,179,41321,20617,
273.5,96391,18248,10,105898,222,44154,23549,
274.5,102944,12814,7,121972,277,47603,26748,
275.5,109366,8772,5,139315,349,51561,30128,
276.5,115526,5856,3,157648,445,55896,33624,
277.5,121287,3815,2,176572,570,60449,37170,
278.5,126505,2427,1,195560,735,65046,40681,
279.5,131035,1508,1,213969,952,69493,44051,
280.5,134740,917,0,231055,1236,73590,47152,
281.5,137493,545,0,246013,1607,77132,49841,
282.5,139183,317,0,258029,2090,79924,51969,
283.5,139727,181,0,266338,2714,81792,53394,
284.5,139068,102,0,270301,3515,82597,53992,
285.5,137185,56,0,269469,4534,82249,53679,
286.5,134092,30,0,263645,5818,80717,52415,
287.5,129837,16,0,252923,7417,78039,50216,
288.5,124509,8,0,237703,9382,74320,47157,
289.5,118224,4,0,218665,11764,69732,43369,
290.5,111130,2,0,196724,14605,64492,39030,
291.5,103393,1,0,172946,17935,58855,34353,
292.5,95195,0,0,148452,21762,53082,29568,
293.5,86722,0,0,124321,26070,47423,24911,
294.5,78158,0,0,101499,30805,42092,20617,
295.5,69676,0,0,80727,35874,37256,16910,
296.5,61435,0,0,62504,41144,33017,14006,
297.5,53570,0,0,47079,46437,29417,12074,
298.5,46192,0,0,34475,51542,26442,11142,
299.5,39382,0,0,24528,56226,24027,11017,
300.5,33198,0,0,16945,60247,22078,11362,
301.5,27666,0,0,11360,63374,20480,11861,
302.5,22794,0,0,7387,65412,19119,12299,
303.5,18565,0,0,4657,66217,17888,12552,
304.5,14947,0,0,2844,65714,16701,12560,
305.5,11896,0,0,1683,63909,15498,12304,
306.5,9359,0,0,964,60886,14242,11793,
307.5,7279,0,0,534,56806,12924,11057,
308.5,5596,0,0,286,51886,11554,10139,
309.5,4253,0,0,148,46385,10157,9094,
310.5,3195,0,0,74,40576,8769,7975,
311.5,2373,0,0,36,34725,7427,6840,
312.5,1742,0,0,17,29067,6165,5735,
313.5,1265,0,0,8,23794,5013,4701,
314.5,908,0,0,3,19045,3991,3768,
315.5,645,0,0,1,14904,3110,2951,
316.5,452,0,0,0,11402,2371,2259,
317.5,314,0,0,0,8526,1768,1691,
318.5,216,0,0,0,6231,1289,1236,
319.5,146,0,0,0,4451,920,883,
320.5,98,0,0,0,3108,641,617,
321.5,65,0,0,0,2120,437,421,
322.5,43,0,0,0,1414,291,281,
323.5,28,0,0,0,921,190,183,
324.5,18,0,0,0,586,121,116,
325.5,12,0,0,0,365,75,72,
326.5,7,0,0,0,222,46,44,
327.5,5,0,0,0,132,27,26,
328.5,3,0,1,0,77,16,15,
329.5,2,0,2,0,44,9,9,
330.5,1,0,2,0,24,5,5,
331.5,0,0,3,0,13,3,3,
332.5,0,0,4,0,7,2,1,
333.5,0,0,6,0,4,2,1,
334.5,0,0,8,0,2,2,2,
335.5,0,0,12,0,0,3,2,
336.5,0,0,17,0,0,3,3,
337.5,0,0,24,0,0,5,5,
338.5,0,0,33,0,0,7,7,
339.5,0,0,47,0,0,9,9,
340.5,0,0,66,0,0,13,13,
341.5,0,0,92,0,0,18,18,
342.5,0,0,128,0,0,26,26,
343.5,0,0,178,0,0,36,36,
344.5,0,0,246,0,0,49,49,
345.5,0,0,339,0,0,68,68,
346.5,0,0,465,0,0,93,93,
347.5,0,0,633,0,0,127,127,
348.5,0,0,857,0,0,171,171,
349.5,0,0,1153,0,0,231,231,
350.5,0,0,1539,0,0,308,308,
351.5,0,0,2040,0,0,408,408,
352.5,0,0,2683,0,0,537,537,
353.5,0,0,3501,0,0,700,700,
354.5,0,0,4529,0,0,906,906,
355.5,0,1,5808,0,0,1162,1161,
356.5,0,2,7380,0,0,1476,1476,
357.5,0,5,9290,0,0,1859,1858,
358.5,0,10,11583,0,0,2319,2316,
359.5,0,20,14298,0,0,2864,2859,
360.5,0,40,17471,0,0,3502,3492,
361.5,0,78,21126,0,0,4241,4221,
362.5,0,150,25274,0,0,5085,5047,
363.5,0,282,29910,0,0,6039,5968,
364.5,0,521,35006,0,0,7105,6976,
365.5,0,938,40511,0,0,8290,8057,
366.5,0,1647,46346,0,0,9599,9192,
367.5,0,2816,52408,0,0,11045,10355,
368.5,0,4680,58566,0,0,12649,11515,
369.5,0,7551,64671,0,0,14444,12641,
370.5,0,11813,70551,0,0,16473,13712,
371.5,0,17901,76030,0,0,18786,14725,
372.5,0,26244,80927,0,0,21434,15717,
373.5,0,37189,85069,0,0,24452,16778,
374.5,0,50882,88304,0,0,27837,18044,
375.5,0,67157,90504,0,0,31532,19659,
376.5,0,85431,91579,0,0,35402,21701,
377.5,0,104659,91480,0,0,39228,24112,
378.5,0,123377,90204,0,0,42716,26679,
379.5,0,139855,87792,0,0,45529,29071,
380.5,0,152340,84332,0,0,47334,30916,
381.5,0,159353,79948,0,0,47860,31884,
382.5,0,159979,74795,0,0,46955,31752,
383.5,0,154057,69051,0,0,44622,30452,
384.5,0,142229,62905,0,0,41027,28080,
385.5,0,125829,56544,0,0,36475,24878,
386.5,0,106626,50151,0,0,31355,21176,
387.5,0,86509,43887,0,0,26079,17334,
388.5,0,67175,37892,0,0,21013,13676,
389.5,0,49906,32278,0,0,16437,10444,
390.5,0,35462,27127,0,0,12518,7778,
391.5,0,24094,22493,0,0,9317,5711,
392.5,0,15648,18400,0,0,6810,4193,
393.5,0,9713,14850,0,0,4912,3116,
394.5,0,5760,11824,0,0,3517,2357,
395.5,0,3264,9288,0,0,2510,1808,
396.5,0,1766,7198,0,0,1793,1394,
397.5,0,913,5504,0,0,1283,1070,
398.5,0,450,4152,0,0,921,813,
399.5,0,212,3090,0,0,661,609,
400.5,0,95,2270,0,0,473,450,
401.5,0,41,1644,0,0,337,327,
402.5,0,17,1176,0,0,239,234,
403.5,0,7,829,0,0,167,166,
404.5,0,2,577,0,0,116,115,
405.5,0,0,397,0,0,80,79,
406.5,0,0,269,0,0,54,54,
407.5,0,0,180,0,0,36,36,
408.5,0,0,119,0,0,24,24,
409.5,0,0,77,0,0,15,15,
410.5,0,0,50,0,0,10,10,
411.5,0,0,32,0,0,6,6,
412.5,0,0,20,0,0,4,4,
413.5,0,0,12,0,0,2,2,
414.5,0,0,7,0,0,1,1,
415.5,0,0,5,0,0,0,0,
416.5,0,0,3,0,0,0,0,
417.5,0,0,2,0,0,0,0,
418.5,0,0,0,0,0,0,0,
419.5,0,0,0,0,0,0,0,
420.5,0,0,0,0,0,0,0,
421.5,0,0,0,0,0,0,0,
422.5,0,0,0,0,0,0,0,
423.5,0,0,0,0,0,0,0,
424.5,0,0,0,0,0,0,0,
425.5,0,0,0,0,0,0,0,
426.5,0,0,0,0,0,0,0,
427.5,0,0,0,0,0,0,0,
428.5,0,0,0,0,0,0,0,
429.5,0,0,0,0,0,0,0,
430.5,0,0,0,0,0,0,0,
431.5,0,0,0,0,0,0,0,
432.5,0,0,0,0,0,0,0,
433.5,0,0,0,0,0,0,0,
434.5,0,0,0,0,0,0,0,
435.5,0,0,0,0,0,0,0,
436.5,0,0,0,0,0,0,0,
437.5,0,0,0,0,0,0,0,
438.5,0,0,0,0,0,0,0,
439.5,0,0,0,0,0,0,0,
440.5,0,0,0,0,0,0,0,
441.5,0,0,0,0,0,0,0,
442.5,0,0,0,0,0,0,0,
443.5,0,0,0,0,0,0,0,
444.5,0,0,0,0,0,0,0,
