NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
39.5,280679,7068,45245,21231,7930,72431,52517,
40.5,325228,17078,47536,31014,14627,87096,59821,
41.5,373064,38602,50055,42617,26320,106132,66844,
42.5,424490,79508,53243,54953,46047,131648,73428,
43.5,479891,146808,57610,67051,77886,165849,80062,
44.5,539506,241626,63763,78734,126519,210030,88079,
45.5,603146,355917,72448,90948,196043,263700,98673,
46.5,669924,474783,84624,105724,288145,324640,111496,
47.5,738059,583451,101544,126079,400354,389897,124807,
48.5,804842,673633,124840,156137,525520,456995,136651,
49.5,866839,745305,156578,201461,653349,524706,145305,
50.5,920337,804347,199255,269305,773625,593374,149040,
51.5,961992,858920,255674,368243,879596,664885,146197,
52.5,989514,916725,328636,506479,969909,742252,136028,
53.5,1002200,983654,420415,688562,1048506,828667,120159,
54.5,1001151,1063424,532030,911423,1123082,926222,104594,
55.5,989115,1157633,662445,1162161,1203162,1034903,100097,
56.5,970026,1265975,807936,1420080,1298590,1152521,113543,
57.5,948410,1386531,961917,1663083,1418595,1275707,139346,
58.5,928833,1516169,1115446,1875220,1571200,1401373,169056,
59.5,915532,1651026,1258418,2051218,1762569,1527753,198960,
60.5,912256,1787008,1381206,2196108,1996019,1654519,229472,
61.5,922289,1920134,1476296,2321256,2270639,1782123,262793,
62.5,948582,2046645,1539446,2439412,2579826,1910782,300770,
63.5,993907,2162841,1570088,2560715,2910305,2039571,343423,
64.5,1060935,2264778,1570961,2690205,3242385,2165853,388484,
65.5,1152199,2347998,1547182,2826612,3551904,2285179,431855,
66.5,1269854,2407503,1505095,2962121,3813792,2391673,468646,
67.5,1415234,2438119,1451206,3083122,4006373,2478811,494341,
68.5,1588207,2435254,1391391,3172122,4115149,2540424,505809,
69.5,1786389,2395912,1330434,3210891,4134884,2571702,502019,
70.5,2004399,2319661,1271878,3184407,4069503,2569969,484443,
71.5,2233377,2209226,1218072,3084622,3930112,2535082,457156,
72.5,2461030,2070442,1170357,2912837,3732043,2469342,426477,
73.5,2672422,1911526,1129279,2679805,3491876,2376982,399712,
74.5,2851528,1741871,1094813,2403489,3225151,2263370,382627,
75.5,2983365,1570684,1066546,2105295,2945042,2134186,376618,
76.5,3056250,1405856,1043826,1806039,2661911,1994776,378058,
77.5,3063649,1253268,1025865,1522809,2383484,1849815,380781,
78.5,3005144,1116596,1011814,1267329,2115335,1703244,379277,
79.5,2886287,997513,1000800,1045799,1861435,1558367,370364,
80.5,2717433,896116,991947,859782,1624617,1417979,353321,
81.5,2511909,811421,984382,707556,1406876,1284429,329260,
82.5,2283990,741814,977226,585491,1209533,1159611,300346,
83.5,2047118,685401,969586,489151,1033280,1044907,269105,
84.5,1812650,640245,960560,414061,878197,941142,237931,
85.5,1589213,604512,949244,356140,743764,848575,208773,
86.5,1382611,576553,934762,311903,628922,766950,182971,
87.5,1196107,554927,916313,278494,532175,695603,161198,
88.5,1030924,538419,893236,253639,451724,633588,143490,
89.5,886802,526021,865076,235563,385622,579817,129369,
90.5,762510,516924,831650,222887,331902,533175,118054,
91.5,656276,510494,793100,214545,288691,492621,108698,
92.5,566092,506245,749905,209708,254285,457247,100590,
93.5,489934,503809,702866,207721,227185,426303,93266,
94.5,425890,502904,653044,208063,206109,399202,86522,
95.5,372225,503299,601671,210319,189987,375500,80373,
96.5,327416,504780,550039,214158,177932,354865,74975,
97.5,290146,507119,499392,219332,169217,337041,70535,
98.5,259297,510053,450828,225668,163239,321817,67222,
99.5,233929,513264,405233,233076,159488,308998,65092,
100.5,213258,516377,363249,241547,157528,298392,64049,
101.5,196635,518965,325264,251152,156965,289796,63872,
102.5,183531,520566,291442,262044,157437,283004,64268,
103.5,173516,520713,261756,274441,158605,277806,64945,
104.5,166245,518971,236039,288619,160144,274004,65666,
105.5,161449,514977,214026,304888,161753,271419,66278,
106.5,158918,508479,195396,323573,163158,269905,66732,
107.5,158491,499365,179809,344975,164125,269353,67084,
108.5,160046,487679,166922,369333,164469,269690,67492,
109.5,163485,473622,156416,396767,164063,270871,68190,
110.5,168721,457534,147994,427212,162841,272861,69451,
111.5,175665,439858,141395,460340,160802,275612,71514,
112.5,184210,421106,136387,495475,157995,279034,74506,
113.5,194212,401806,132770,531527,154515,282966,78371,
114.5,205478,382468,130372,566940,150487,287149,82853,
115.5,217755,363547,129043,599710,146052,291221,87513,
116.5,230718,345421,128657,627476,141352,294725,91786,
117.5,243973,328377,129100,647704,136522,297135,95061,
118.5,257065,312612,130277,657971,131682,297921,96763,
119.5,269497,298228,132100,656304,126930,296612,96429,
